curso,prerrequisitos,nivel,carrera
"Fundamentos para el calculo", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Fundamentos de las finanzas", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Introduccion a la contabilidad", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Liderazgo personal y trabajo en equipo", "Ninguno", "Ciclo 1", "Contabilidad y administracion"
"Calculo 1", "Fundamentos para el calculo", "Ciclo 2", "Contabilidad y administracion"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Contabilidad y administracion"
"Contabilidad basica", "Introduccion a la contabilidad", "Ciclo 2", "Contabilidad y administracion"
"Introduccion a la administracion en la globalizacion", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Contabilidad y administracion"
"Macroeconomia", "Fundamentos de las finanzas", "Ciclo 2", "Contabilidad y administracion"
"Informatica contable", "Introduccion a la contabilidad", "Ciclo 2", "Contabilidad y administracion"
"Fundamentos de la investigacion academica", "Comprension y produccion de lenguaje 2", "Ciclo 3", "Contabilidad y administracion"
"Estadistica descriptiva", "Calculo 1", "Ciclo 3", "Contabilidad y administracion"
"Matematica financiera", "Fundamentos de las finanzas", "Ciclo 3", "Contabilidad y administracion"
"Contabilidad intermedia", "Contabilidad basica", "Ciclo 3", "Contabilidad y administracion"
"Teoria microeconomica", "Fundamentos para el calculo" "Macroeconomia", "Ciclo 3", "Contabilidad y administracion"
"Marketing", "Introduccion a la administracion en la globalizacion", "Ciclo 3", "Contabilidad y administracion"
"Estadistica inferencial", "Estadistica descriptiva", "Ciclo 4", "Contabilidad y administracion"
"Finanzas corporativas", "Contabilidad basica" "Matematica financiera", "Ciclo 4", "Contabilidad y administracion"
"Contabilidad de costos", "Contabilidad intermedia", "Ciclo 4", "Contabilidad y administracion"
"Integracion contable", "Contabilidad intermedia", "Ciclo 4", "Contabilidad y administracion"
"Derecho de los negocios", "Introduccion a la administracion en la globalizacion", "Ciclo 4", "Contabilidad y administracion"
"Gestion del capital humano global", "Introduccion a la administracion en la globalizacion", "Ciclo 4", "Contabilidad y administracion"
"Metodos cuantitativos", "Estadistica descriptiva", "Ciclo 5", "Contabilidad y administracion"
"Contabilidad avanzada", "Integracion contable", "Ciclo 5", "Contabilidad y administracion"
"Sistemas avanzados de costeo", "Contabilidad de costos", "Ciclo 5", "Contabilidad y administracion"
"Diseño organizacional y procesos", "Introduccion a la administracion en la globalizacion", "Ciclo 5", "Contabilidad y administracion"
"Comunicacion para el liderazgo", "Liderazgo personal y trabajo en equipo", "Ciclo 5", "Contabilidad y administracion"
"Topicos de derecho tributario", "Contabilidad intermedia", "Ciclo 5", "Contabilidad y administracion"
"Analisis y proyeccion de estados financieros", "Contabilidad avanzada" "Contabilidad de costos", "Ciclo 6", "Contabilidad y administracion"
"Evaluacion de proyectos de inversion privada", "Finanzas corporativas", "Ciclo 6", "Contabilidad y administracion"
"Tecnicas de auditoria", "Contabilidad avanzada", "Ciclo 6", "Contabilidad y administracion"
"Impuesto a la renta", "Topicos de derecho tributario", "Ciclo 6", "Contabilidad y administracion"
"Sistemas integrados", "Integracion contable", "Ciclo 6", "Contabilidad y administracion"
"Taller de nif 1", "Contabilidad avanzada", "Ciclo 6", "Contabilidad y administracion"
"Administracion de operaciones", "Metodos cuantitativos", "Ciclo 7", "Contabilidad y administracion"
"Sistemas de informacion de ent digitales", "Diseño organizacional y procesos", "Ciclo 7", "Contabilidad y administracion"
"Investigacion de mercado aplicada a los negocios", "Estadistica inferencial" "Marketing", "Ciclo 7", "Contabilidad y administracion"
"Impuestos al consumo", "Topicos de derecho tributario", "Ciclo 7", "Contabilidad y administracion"
"Valoracion de empresas fusiones y adquisiciones", "Contabilidad avanzada", "Ciclo 7", "Contabilidad y administracion"
"Gestion de proyectos", "Investigacion de mercado aplicada a los negocios", "Ciclo 8", "Contabilidad y administracion"
"Comportamiento organizacional", "Gestion del capital humano global", "Ciclo 8", "Contabilidad y administracion"
"Etica y responsabilidad social empresarial", "140 creditos aprobados", "Ciclo 8", "Contabilidad y administracion"
"Niifs y su incidencia tributaria", "Impuesto al consumo", "Ciclo 8", "Contabilidad y administracion"
"Contabilidad gerencial", "Analisis y proyeccion de estados financieros" "Sistemas avanzados de costeo", "Ciclo 9", "Contabilidad y administracion"
"Metodologia de la investigacion", "140 creditos aprobados", "Ciclo 9", "Contabilidad y administracion"
"Contabilidad de instrumentos financieros", "Analisis y proyeccion de estados financieros" "Valoracion de empresas fusiones y adquisiciones", "Ciclo 9", "Contabilidad y administracion"
"Gerencia estrategica en org conscientes", "140 creditos aprobados", "Ciclo 10", "Contabilidad y administracion"
"Direccion contable", "Niifs y su incidencia tributaria" "Taller de nif 1", "Ciclo 10", "Contabilidad y administracion"
"Seminario de tesis", "Metodologia de la investigacion", "Ciclo 10", "Contabilidad y administracion"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Economia y negocios internacionales"
"Matematica basica", "Ninguno", "Ciclo 1", "Economia y negocios internacionales"
"Taller de creatividad", "Ninguno", "Ciclo 1", "Economia y negocios internacionales"
"Fundamentos de economia general", "Ninguno", "Ciclo 1", "Economia y negocios internacionales"
"Introduccion a los negocios internacionales", "Ninguno", "Ciclo 1", "Economia y negocios internacionales"
"Calculo diferencial e integral para economistas", "Matematica basica", "Ciclo 2", "Economia y negocios internacionales"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Economia y negocios internacionales"
"Contabilidad general", "Matematica basica", "Ciclo 2", "Economia y negocios internacionales"
"Introduccion a la microeconomia", "Fundamentos de economia general" "Matematica basica", "Ciclo 2", "Economia y negocios internacionales"
"Introduccion a las finanzas", "Fundamentos de economia general", "Ciclo 2", "Economia y negocios internacionales"
"Matematica financiera para economistas", "Matematica basica", "Ciclo 2", "Economia y negocios internacionales"
"Etica y ciudadania", "Comprension y produccion de lenguaje 1", "Ciclo 3", "Economia y negocios internacionales"
"Logica", "Comprension y produccion de lenguaje 1" "Matematica basica", "Ciclo 3", "Economia y negocios internacionales"
"Contabilidad financiera", "Contabilidad general", "Ciclo 3", "Economia y negocios internacionales"
"Fundamentos de estrategia comercial internacional", "Introduccion a los negocios internacionales", "Ciclo 3", "Economia y negocios internacionales"
"Introduccion a la macroeconomia", "Introduccion a la microeconomia", "Ciclo 3", "Economia y negocios internacionales"
"Microeconomia avanzada", "Calculo diferencial e integral para economistas" "Introduccion a la microeconomia", "Ciclo 3", "Economia y negocios internacionales"
"Estadistica", "Calculo diferencial e integral para economistas", "Ciclo 4", "Economia y negocios internacionales"
"Estrategia comercial internacional 1", "Fundamentos de estrategia comercial internacional", "Ciclo 4", "Economia y negocios internacionales"
"Historia economica del peru", "Introduccion a la microeconomia", "Ciclo 4", "Economia y negocios internacionales"
"Macroeconomia avanzada", "Calculo diferencial e integral para economistas" "Introduccion a la macroeconomia", "Ciclo 4", "Economia y negocios internacionales"
"Matematica avanzada para economistas", "Calculo diferencial e integral para economistas", "Ciclo 4", "Economia y negocios internacionales"
"Microeconomia aplicada", "Microeconomia avanzada", "Ciclo 4", "Economia y negocios internacionales"
"Estadistica para economistas", "Estadistica", "Ciclo 5", "Economia y negocios internacionales"
"Estrategia comercial internacional 2", "Estrategia comercial internacional 1", "Ciclo 5", "Economia y negocios internacionales"
"Informatica para economistas", "Introduccion a la microeconomia", "Ciclo 5", "Economia y negocios internacionales"
"Macroeconomia aplicada", "Macroeconomia avanzada", "Ciclo 5", "Economia y negocios internacionales"
"Teoria de juegos", "Microeconomia avanzada", "Ciclo 5", "Economia y negocios internacionales"
"Historia del pensamiento economico", "Macroeconomia avanzada" "Microeconomia avanzada", "Ciclo 6", "Economia y negocios internacionales"
"Introduccion a la econometria", "Estadistica para economistas" "Informatica para economistas", "Ciclo 6", "Economia y negocios internacionales"
"Organizacion industrial", "Microeconomia aplicada", "Ciclo 6", "Economia y negocios internacionales"
"Teoria economica internacional", "Macroeconomia aplicada" "Microeconomia avanzada", "Ciclo 6", "Economia y negocios internacionales"
"Data analytics", "Informatica para economistas", "Ciclo 7", "Economia y negocios internacionales"
"Economia publica y regulacion", "Microeconomia aplicada" "Microeconomia avanzada", "Ciclo 7", "Economia y negocios internacionales"
"Escuela austriaca de economia", "Historia del pensamiento economico", "Ciclo 7", "Economia y negocios internacionales"
"Microeconometria", "Introduccion a la econometria", "Ciclo 7", "Economia y negocios internacionales"
"Precios de transferencia", "Microeconomia aplicada", "Ciclo 7", "Economia y negocios internacionales"
"Historia de la filosofia", "Etica y ciudadania", "Ciclo 8", "Economia y negocios internacionales"
"Behavioral economics", "Microeconomia aplicada", "Ciclo 8", "Economia y negocios internacionales"
"Macroeconometria", "Microeconometria", "Ciclo 8", "Economia y negocios internacionales"
"Seminario de investigacion academica econ", "Introduccion a la econometria", "Ciclo 8", "Economia y negocios internacionales"
"Teoria monetaria", "Macroeconomia aplicada", "Ciclo 8", "Economia y negocios internacionales"
"Crecimiento y desarrollo", "Introduccion a la econometria", "Ciclo 9", "Economia y negocios internacionales"
"Macroeconomia abierta", "Introduccion a la econometria" "Teoria monetaria", "Ciclo 9", "Economia y negocios internacionales"
"Proyecto de tesis 1", "Macroeconometria" "Seminario de investigacion academica econ", "Ciclo 9", "Economia y negocios internacionales"
"Curso de trabajo de investigacion proyecto de tesis 2", "Proyecto de tesis 1" "Macroeconometria", "Ciclo 10", "Economia y negocios internacionales"
"Economia gerencial", "Estrategia comercial internacional 1" "Ingles 5", "Ciclo 10", "Economia y negocios internacionales"
"Politica economica", "Economia publica y regulacion", "Ciclo 10", "Economia y negocios internacionales"
"Matematica basica", "Ninguno", "Ciclo 1", "Ingenieria de software"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Ingenieria de software"
"Creatividad y liderazgo ing", "Ninguno", "Ciclo 1", "Ingenieria de software"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Ingenieria de software"
"Introduccion a los algoritmos", "Ninguno", "Ciclo 1", "Ingenieria de software"
"Calculo 1", "Matematica basica", "Ciclo 2", "Ingenieria de software"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria de software"
"Seminario de investigacion academica 1", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria de software"
"Algoritmos", "Introduccion a los algoritmos", "Ciclo 2", "Ingenieria de software"
"Organizacion y direccion de empresas", "Ninguno", "Ciclo 2", "Ingenieria de software"
"Fisica 1", "Calculo 1", "Ciclo 3", "Ingenieria de software"
"Matematica discreta", "Matematica basica" "Introduccion a los algoritmos", "Ciclo 3", "Ingenieria de software"
"Algoritmos y estructuras de datos", "Algoritmos", "Ciclo 3", "Ingenieria de software"
"Diseño y patrones de software", "Algoritmos", "Ciclo 3", "Ingenieria de software"
"Especificacion y analisis de requerimientos", "Organizacion y direccion de empresas", "Ciclo 3", "Ingenieria de software"
"Fisica 2", "Fisica 1", "Ciclo 4", "Ingenieria de software"
"Matematica computacional", "Matematica discreta", "Ciclo 4", "Ingenieria de software"
"Ihc y tecnologias moviles", "Especificacion y analisis de requerimientos", "Ciclo 4", "Ingenieria de software"
"Diseño de base de datos", "Algoritmos y estructuras de datos" "Diseño y patrones de software", "Ciclo 4", "Ingenieria de software"
"Arquitectura de computadoras", "Matematica discreta", "Ciclo 4", "Ingenieria de software"
"Calculo 2", "Calculo 1", "Ciclo 5", "Ingenieria de software"
"Desarrollo de aplicaciones open source", "Diseño de base de datos", "Ciclo 5", "Ingenieria de software"
"Sistemas operativos", "Arquitectura de computadoras" "Ihc y tecnologias moviles", "Ciclo 5", "Ingenieria de software"
"Aplicaciones web", "Diseño de base de datos", "Ciclo 5", "Ingenieria de software"
"Estadistica aplicada 1", "Matematica computacional", "Ciclo 6", "Ingenieria de software"
"Complejidad algoritmica", "Algoritmos y estructuras de datos", "Ciclo 6", "Ingenieria de software"
"Aplicaciones para dispositivos moviles", "Aplicaciones web", "Ciclo 6", "Ingenieria de software"
"Redes y comunicaciones de datos", "Sistemas operativos", "Ciclo 6", "Ingenieria de software"
"Fundamentos de arquitectura de software", "Desarrollo de aplicaciones open source", "Ciclo 7", "Ingenieria de software"
"Desarrollo de soluciones iot", "Aplicaciones para dispositivos moviles", "Ciclo 7", "Ingenieria de software"
"Finanzas e ingenieria economica", "100 creditos aprobados", "Ciclo 7", "Ingenieria de software"
"Diseño de experimentos de ingenieria de software", "Estadistica aplicada 1" "100 creditos aprobados", "Ciclo 7", "Ingenieria de software"
"Taller de desempeño profesional", "Diseño de experimentos de ingenieria de software" "Ingles 3", "Ciclo 8", "Ingenieria de software"
"Gerencia de proyectos en computacion", "140 creditos aprobados", "Ciclo 8", "Ingenieria de software"
"Arquitecturas de software emergentes", "Fundamentos de arquitectura de software", "Ciclo 8", "Ingenieria de software"
"Seminario de investigacion academica 2 ing", "Seminario de investigacion academica 1" "120 creditos aprobados", "Ciclo 8", "Ingenieria de software"
"Taller de proyecto 1", "Gerencia de proyectos en computacion" "Taller de desempeño profesional", "Ciclo 9", "Ingenieria de software"
"Calidad y mejora de procesos software", "Fundamentos de arquitectura de software", "Ciclo 9", "Ingenieria de software"
"Desarrollo agile de productos de software", "Arquitecturas de software emergentes" "Gerencia de proyectos en computacion", "Ciclo 9", "Ingenieria de software"
"Taller de proyecto 2", "Taller de proyecto 1", "Ciclo 10", "Ingenieria de software"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Ingenieria civil"
"Dibujo asistido por el computador", "Ninguno", "Ciclo 1", "Ingenieria civil"
"Introduccion a la ingenieria civil", "Ninguno", "Ciclo 1", "Ingenieria civil"
"Matematica basica", "Ninguno", "Ciclo 1", "Ingenieria civil"
"Quimica", "Ninguno", "Ciclo 1", "Ingenieria civil"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria civil"
"Calculo 1", "Matematica basica", "Ciclo 2", "Ingenieria civil"
"Seminario de investigacion academica 1", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria civil"
"Creatividad y liderazgo", "Ninguno", "Ciclo 2", "Ingenieria civil"
"Topografia", "Dibujo asistido por el computador" "Matematica basica", "Ciclo 2", "Ingenieria civil"
"Calculo 2", "Calculo 1", "Ciclo 3", "Ingenieria civil"
"Estadistica", "Calculo 1", "Ciclo 3", "Ingenieria civil"
"Fisica 1", "Calculo 1", "Ciclo 3", "Ingenieria civil"
"Materiales de construccion", "Introduccion a la ingenieria civil" "Matematica basica" "Quimica", "Ciclo 3", "Ingenieria civil"
"Etica y ciudadania", "Comprension y produccion de lenguaje 1", "Ciclo 3", "Ingenieria civil"
"Ecuaciones diferenciales y algebra lineal", "Calculo 2", "Ciclo 4", "Ingenieria civil"
"Estatica", "Fisica 1", "Ciclo 4", "Ingenieria civil"
"Fisica 2", "Fisica 1", "Ciclo 4", "Ingenieria civil"
"Tecnologia del concreto", "Materiales de construccion", "Ciclo 4", "Ingenieria civil"
"Construccion 1", "Estadistica" "Tecnologia del concreto", "Ciclo 5", "Ingenieria civil"
"Dinamica", "Calculo 2" "Estatica", "Ciclo 5", "Ingenieria civil"
"Ingenieria de carreteras", "Calculo 2" "Topografia", "Ciclo 5", "Ingenieria civil"
"Mecanica de materiales", "Calculo 2" "Estatica", "Ciclo 5", "Ingenieria civil"
"Mecanica de suelos", "Calculo 2" "Estatica", "Ciclo 5", "Ingenieria civil"
"Analisis estructural", "Mecanica de materiales", "Ciclo 6", "Ingenieria civil"
"Ingenieria de cimentaciones", "Mecanica de suelos", "Ciclo 6", "Ingenieria civil"
"Analisis numerico para ingenieros civiles", "Dinamica" "Ecuaciones diferenciales y algebra lineal", "Ciclo 6", "Ingenieria civil"
"Mecanica de fluidos", "Dinamica" "Ecuaciones diferenciales y algebra lineal", "Ciclo 6", "Ingenieria civil"
"Modelacion de edificaciones", "Construccion 1", "Ciclo 6", "Ingenieria civil"
"Comportamiento y diseño en concreto", "Analisis estructural", "Ciclo 7", "Ingenieria civil"
"Construccion 2", "Modelacion de edificaciones", "Ciclo 7", "Ingenieria civil"
"Costos y presupuestos", "Construccion 1", "Ciclo 7", "Ingenieria civil"
"Hidraulica de canales", "Mecanica de fluidos", "Ciclo 7", "Ingenieria civil"
"Ingenieria de transito", "Ingenieria de carreteras" "Mecanica de suelos", "Ciclo 7", "Ingenieria civil"
"Planificacion y control de obras", "Costos y presupuestos", "Ciclo 8", "Ingenieria civil"
"Seminario de investigacion academica 2 ing", "Ingles 5" "Taller de tesis", "Ciclo 8", "Ingenieria civil"
"Taller de tesis", "Ingles 5" "Seminario de investigacion academica 2 ing", "Ciclo 8", "Ingenieria civil"
"Gerencia de proyectos de construccion", "Costos y presupuestos", "Ciclo 9", "Ingenieria civil"
"Ingenieria sismo resistente", "Analisis estructural", "Ciclo 9", "Ingenieria civil"
"Productividad en obras", "Costos y presupuestos", "Ciclo 9", "Ingenieria civil"
"Proyecto de tesis 1", "Seminario de investigacion academica 2 ing" "Taller de tesis" "02 creditos practicas preprofesionales", "Ciclo 9", "Ingenieria civil"
"Proyecto de tesis 2", "Proyecto de tesis 1", "Ciclo 10", "Ingenieria civil"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Ingenieria de sistemas de informacion"
"Creatividad y liderazgo ing", "Ninguno", "Ciclo 1", "Ingenieria de sistemas de informacion"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Ingenieria de sistemas de informacion"
"Matematica basica", "Ninguno", "Ciclo 1", "Ingenieria de sistemas de informacion"
"Fundamentos de programacion", "Ninguno", "Ciclo 1", "Ingenieria de sistemas de informacion"
"Calculo 1", "Matematica basica", "Ciclo 2", "Ingenieria de sistemas de informacion"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria de sistemas de informacion"
"Seminario de investigacion academica 1", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria de sistemas de informacion"
"Organizacion y direccion de empresas", "Ninguno", "Ciclo 2", "Ingenieria de sistemas de informacion"
"Programacion orientada a objetos", "Fundamentos de programacion", "Ciclo 2", "Ingenieria de sistemas de informacion"
"Fisica 1", "Calculo 1", "Ciclo 3", "Ingenieria de sistemas de informacion"
"Contabilidad y presupuestos", "Organizacion y direccion de empresas", "Ciclo 3", "Ingenieria de sistemas de informacion"
"Diseño de base de datos", "Programacion orientada a objetos", "Ciclo 3", "Ingenieria de sistemas de informacion"
"Especificacion y analisis de requerimientos", "Organizacion y direccion de empresas", "Ciclo 3", "Ingenieria de sistemas de informacion"
"Matematica discreta", "Matematica basica" "Fundamentos de programacion", "Ciclo 3", "Ingenieria de sistemas de informacion"
"Arquitectura de computadoras y sistemas operativos", "Ninguno", "Ciclo 4", "Ingenieria de sistemas de informacion"
"Fisica 2", "Fisica 1", "Ciclo 4", "Ingenieria de sistemas de informacion"
"Ihc y tecnologias moviles", "Diseño de base de datos" "Especificacion y analisis de requerimientos", "Ciclo 4", "Ingenieria de sistemas de informacion"
"Matematica computacional", "Calculo 1", "Ciclo 4", "Ingenieria de sistemas de informacion"
"Estadistica aplicada 1", "Calculo 1", "Ciclo 5", "Ingenieria de sistemas de informacion"
"Arquitectura de negocio", "Ihc y tecnologias moviles", "Ciclo 5", "Ingenieria de sistemas de informacion"
"Calculo 2", "Calculo 1", "Ciclo 5", "Ingenieria de sistemas de informacion"
"Fundamentos de sistemas de informacion", "Diseño de base de datos", "Ciclo 5", "Ingenieria de sistemas de informacion"
"Arquitectura de aplicaciones web", "Fundamentos de sistemas de informacion", "Ciclo 6", "Ingenieria de sistemas de informacion"
"Diseño de experimentos de si", "Estadistica aplicada 1", "Ciclo 6", "Ingenieria de sistemas de informacion"
"Emprendimiento de negocios sostenibles formulacion", "Contabilidad y presupuestos", "Ciclo 6", "Ingenieria de sistemas de informacion"
"Redes y comunicaciones de datos", "Arquitectura de computadoras y sistemas operativos", "Ciclo 6", "Ingenieria de sistemas de informacion"
"Arquitectura empresarial", "Arquitectura de negocio", "Ciclo 7", "Ingenieria de sistemas de informacion"
"Gerencia de proyectos de si ti", "Arquitectura de negocio", "Ciclo 7", "Ingenieria de sistemas de informacion"
"Gestion de seguridad de informacion", "Arquitectura de negocio", "Ciclo 7", "Ingenieria de sistemas de informacion"
"Implementacion de sistemas empresariales", "Arquitectura de aplicaciones web", "Ciclo 7", "Ingenieria de sistemas de informacion"
"Finanzas e ingenieria economica", "Contabilidad y presupuestos", "Ciclo 8", "Ingenieria de sistemas de informacion"
"Seminario de investigacion academica 2 ing", "Seminario de investigacion academica 1" "120 creditos aprobados", "Ciclo 8", "Ingenieria de sistemas de informacion"
"Taller de desempeño profesional", "Etica y ciudadania" "Diseño de experimentos de si" "Ingles 3", "Ciclo 8", "Ingenieria de sistemas de informacion"
"Technical sales and marketing", "Ihc y tecnologias moviles", "Ciclo 8", "Ingenieria de sistemas de informacion"
"Business process analisys", "Calculo 2", "Ciclo 9", "Ingenieria de sistemas de informacion"
"Soluciones mobiles y cloud", "Arquitectura de aplicaciones web", "Ciclo 9", "Ingenieria de sistemas de informacion"
"Taller de proyecto 1", "Gerencia de proyectos de si ti" "Taller de desempeño profesional", "Ciclo 9", "Ingenieria de sistemas de informacion"
"Curso de trabajo de investigacion taller de proyecto 2", "Taller de proyecto 1", "Ciclo 10", "Ingenieria de sistemas de informacion"
"Gestion de tecnologias de informacion", "Arquitectura empresarial", "Ciclo 10", "Ingenieria de sistemas de informacion"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Derecho"
"Economia politica", "Ninguno", "Ciclo 1", "Derecho"
"Taller de liderazgo 1", "Ninguno", "Ciclo 1", "Derecho"
"Historia sociedad y derecho", "Ninguno", "Ciclo 1", "Derecho"
"Etica y ciudadania", "Ninguno", "Ciclo 1", "Derecho"
"Instituciones del derecho", "Ninguno", "Ciclo 1", "Derecho"
"Derecho de las personas", "Ninguno", "Ciclo 1", "Derecho"
"Microeconomia", "Economia politica", "Ciclo 2", "Derecho"
"Temas de historia del peru", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Derecho"
"Logica", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Derecho"
"Filosofia", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Derecho"
"Razonamiento e investigacion juridica", "Instituciones del derecho" "Comprension y produccion de lenguaje 1", "Ciclo 2", "Derecho"
"Responsabilidad civil", "Derecho de las personas" "Instituciones del derecho", "Ciclo 2", "Derecho"
"Fundamentos de la gerencia", "Comprension y produccion de lenguaje 1", "Ciclo 3", "Derecho"
"Seminario integrado de investigacion", "Comprension y produccion de lenguaje 1", "Ciclo 3", "Derecho"
"Taller de liderazgo 2", "Taller de liderazgo 1", "Ciclo 3", "Derecho"
"Contabilidad para abogados", "Ninguno", "Ciclo 3", "Derecho"
"Derechos de propiedad", "Instituciones del derecho" "Razonamiento e investigacion juridica", "Ciclo 3", "Derecho"
"Teoria constitucional y politica", "Instituciones del derecho", "Ciclo 3", "Derecho"
"Fundamentos de la contratacion 1", "Derecho de las personas" "Razonamiento e investigacion juridica", "Ciclo 3", "Derecho"
"Derecho societario y corporativo", "Contabilidad para abogados" "Derecho de las personas" "Responsabilidad civil", "Ciclo 4", "Derecho"
"Derecho de familia y sucesiones", "Derechos de propiedad", "Ciclo 4", "Derecho"
"Derecho laboral", "Razonamiento e investigacion juridica", "Ciclo 4", "Derecho"
"Derechos fundamentales", "Razonamiento e investigacion juridica" "Teoria constitucional y politica", "Ciclo 4", "Derecho"
"Organizacion del estado", "Razonamiento e investigacion juridica" "Teoria constitucional y politica", "Ciclo 4", "Derecho"
"Fundamentos de la contratacion 2", "Fundamentos de la contratacion 1", "Ciclo 4", "Derecho"
"Derecho administrativo 1", "Organizacion del estado", "Ciclo 5", "Derecho"
"Ley penal y teoria del delito", "Teoria constitucional y politica" "Organizacion del estado", "Ciclo 5", "Derecho"
"Garantias", "Derechos de propiedad", "Ciclo 5", "Derecho"
"Contratos 1", "Fundamentos de la contratacion 2", "Ciclo 5", "Derecho"
"Seminario de negociacion y conciliacion", "Derecho laboral", "Ciclo 5", "Derecho"
"Derecho de los tributos", "Organizacion del estado", "Ciclo 5", "Derecho"
"Finanzas para abogados", "Contabilidad para abogados", "Ciclo 6", "Derecho"
"Legislacion tributaria", "Derecho de los tributos", "Ciclo 6", "Derecho"
"Derecho procesal civil 1", "Seminario de negociacion y conciliacion", "Ciclo 6", "Derecho"
"Delitos economicos y empresariales", "Ley penal y teoria del delito", "Ciclo 6", "Derecho"
"Contratos 2", "Contratos 1", "Ciclo 6", "Derecho"
"Derecho de la competencia", "Microeconomia", "Ciclo 6", "Derecho"
"Taller de liderazgo 3", "Taller de liderazgo 2", "Ciclo 7", "Derecho"
"Derecho procesal penal", "Delitos economicos y empresariales" "Derecho procesal civil 1", "Ciclo 7", "Derecho"
"Analisis economico del derecho", "Microeconomia", "Ciclo 7", "Derecho"
"Contratacion con el estado", "Contratos 2" "Derecho administrativo 1", "Ciclo 7", "Derecho"
"Derecho procesal civil 2", "Derecho procesal civil 1", "Ciclo 7", "Derecho"
"Derecho internacional privado", "Contratos 2", "Ciclo 8", "Derecho"
"Arbitraje", "Derecho procesal civil 2", "Ciclo 8", "Derecho"
"Economia y finanzas internacionales", "Finanzas para abogados", "Ciclo 8", "Derecho"
"Derecho internacional publico", "Organizacion del estado", "Ciclo 9", "Derecho"
"Regulacion financiera", "Ninguno", "Ciclo 9", "Derecho"
"Investigacion juridica 1", "100 creditos aprobados", "Ciclo 9", "Derecho"
"Estado mercado y derecho", "Microeconomia", "Ciclo 10", "Derecho"
"Procesos constitucionales y contencioso adm", "Derecho administrativo 1", "Ciclo 10", "Derecho"
"Derecho del comercio internacional", "100 creditos aprobados", "Ciclo 10", "Derecho"
"Investigacion juridica 2", "Investigacion juridica 1", "Ciclo 10", "Derecho"
"Matematica basica", "Ninguno", "Ciclo 1", "Ingenieria industrial"
"Comprension y produccion de lenguaje 1", "Ninguno", "Ciclo 1", "Ingenieria industrial"
"Quimica", "Ninguno", "Ciclo 1", "Ingenieria industrial"
"Creatividad y liderazgo ing", "Ninguno", "Ciclo 1", "Ingenieria industrial"
"Fundamentos de ingenieria industrial", "Ninguno", "Ciclo 1", "Ingenieria industrial"
"Calculo 1", "Matematica basica", "Ciclo 2", "Ingenieria industrial"
"Comprension y produccion de lenguaje 2", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria industrial"
"Seminario de investigacion academica 1", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria industrial"
"Etica y ciudadania", "Comprension y produccion de lenguaje 1", "Ciclo 2", "Ingenieria industrial"
"Dibujo asistido por el computador", "Fundamentos de ingenieria industrial", "Ciclo 2", "Ingenieria industrial"
"Administracion para ingenieros", "Ninguno", "Ciclo 2", "Ingenieria industrial"
"Fisica 1", "Calculo 1" "Quimica", "Ciclo 3", "Ingenieria industrial"
"Calculo 2", "Calculo 1", "Ciclo 3", "Ingenieria industrial"
"Ciencia de los materiales", "Quimica", "Ciclo 3", "Ingenieria industrial"
"Estadistica aplicada 1", "Matematica basica", "Ciclo 3", "Ingenieria industrial"
"Algoritmos", "Ninguno", "Ciclo 3", "Ingenieria industrial"
"Ecuaciones diferenciales y algebra lineal", "Calculo 2", "Ciclo 4", "Ingenieria industrial"
"Fisica 2", "Fisica 1", "Ciclo 4", "Ingenieria industrial"
"Estadistica aplicada 2", "Estadistica aplicada 1" "Calculo 1", "Ciclo 4", "Ingenieria industrial"
